nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap
0	30	0	1	2	0.2	1	430	0	2.35E-01	1.33E+08	7.14E+07	0.8	4617928704
1	31	1	1	2	0.2	3	431	3.875	2.47E-01	1.33E+08	7.14E+07	0.8	4617928704
2	32	1	1	2	0.2	5	432	4	2.51E-01	1.33E+08	7.14E+07	0.8	4617928704
3	33	0	1	2	0.2	7	433	0	2.53E-01	1.33E+08	7.14E+07	0.8	4617928704
4	26	0	1	2	0.4	1	434	0	4.10E-01	1.33E+08	7.14E+07	0.8	4617928704
5	25	0	1	2	0.4	3	435	0	4.35E-01	1.33E+08	7.14E+07	0.8	4617928704
6	27	0	1	2	0.4	5	436	0	4.43E-01	1.33E+08	7.14E+07	0.8	4617928704
7	29	0	1	2	0.4	7	437	0	4.47E-01	1.33E+08	7.14E+07	0.8	4617928704
8	27	0	1	2	0.6	1	438	0	4.77E-01	1.33E+08	7.14E+07	0.8	4617928704
9	21	0	1	2	0.6	3	439	0	6.22E-01	1.33E+08	7.14E+07	0.8	4617928704
10	22	0	1	2	0.6	5	440	0	6.35E-01	1.33E+08	7.14E+07	0.8	4617928704
11	22	0	1	2	0.6	7	441	0	6.41E-01	1.33E+08	7.14E+07	0.8	4617928704
12	35	1	1	2	0.8	1	442	4.375	3.02E-01	1.33E+08	7.14E+07	0.8	4617928704
13	29	6	1	2	0.8	3	443	21.75	7.52E-01	1.33E+08	7.14E+07	0.8	4617928704
14	18	1	1	2	0.8	5	444	2.25	8.26E-01	1.33E+08	7.14E+07	0.8	4617928704
15	15	0	1	2	0.8	7	445	0	8.35E-01	1.33E+08	7.14E+07	0.8	4617928704
16	25	0	1	4	0.2	1	446	0	2.66E-01	1.33E+08	7.14E+07	0.8	4617928704
17	26	0	1	4	0.2	3	447	0	2.78E-01	1.33E+08	7.14E+07	0.8	4617928704
18	29	0	1	4	0.2	5	448	0	2.82E-01	1.33E+08	7.14E+07	0.8	4617928704
19	29	0	1	4	0.2	7	449	0	2.84E-01	1.33E+08	7.14E+07	0.8	4617928704
20	21	0	1	4	0.4	1	450	0	4.41E-01	1.33E+08	7.14E+07	0.8	4617928704
21	22	0	1	4	0.4	3	451	0	4.66E-01	1.33E+08	7.14E+07	0.8	4617928704
22	23	0	1	4	0.4	5	452	0	4.74E-01	1.33E+08	7.14E+07	0.8	4617928704
23	25	0	1	4	0.4	7	453	0	4.78E-01	1.33E+08	7.14E+07	0.8	4617928704
24	25	0	1	4	0.6	1	454	0	5.08E-01	1.33E+08	7.14E+07	0.8	4617928704
25	18	0	1	4	0.6	3	455	0	6.53E-01	1.33E+08	7.14E+07	0.8	4617928704
26	20	0	1	4	0.6	5	456	0	6.66E-01	1.33E+08	7.14E+07	0.8	4617928704
27	21	0	1	4	0.6	7	457	0	6.72E-01	1.33E+08	7.14E+07	0.8	4617928704
28	26	1	1	4	0.8	1	458	3.25	3.33E-01	1.33E+08	7.14E+07	0.8	4617928704
29	19	4	1	4	0.8	3	459	9.5	7.83E-01	1.33E+08	7.14E+07	0.8	4617928704
30	14	1	1	4	0.8	5	460	1.75	8.57E-01	1.33E+08	7.14E+07	0.8	4617928704
31	14	0	1	4	0.8	7	461	0	8.66E-01	1.33E+08	7.14E+07	0.8	4617928704
32	80	0	1	6	0.2	1	462	0	2.96E-01	1.33E+08	7.14E+07	0.8	4617928704
33	30	1	1	6	0.2	3	463	3.75	3.09E-01	1.33E+08	7.14E+07	0.8	4617928704
34	80	0	1	6	0.2	5	464	0	3.13E-01	1.33E+08	7.14E+07	0.8	4617928704
35	30	0	1	6	0.2	7	465	0	3.15E-01	1.33E+08	7.14E+07	0.8	4617928704
36	22	0	1	6	0.4	1	466	0	4.71E-01	1.33E+08	7.14E+07	0.8	4617928704
37	22	0	1	6	0.4	3	467	0	4.96E-01	1.33E+08	7.14E+07	0.8	4617928704
38	24	0	1	6	0.4	5	468	0	5.05E-01	1.33E+08	7.14E+07	0.8	4617928704
39	27	1	1	6	0.4	7	469	3.375	5.09E-01	1.33E+08	7.14E+07	0.8	4617928704
40	26	0	1	6	0.6	1	470	0	5.39E-01	1.33E+08	7.14E+07	0.8	4617928704
41	18	0	1	6	0.6	3	471	0	6.84E-01	1.33E+08	7.14E+07	0.8	4617928704
42	17	0	1	6	0.6	5	472	0	6.96E-01	1.33E+08	7.14E+07	0.8	4617928704
43	19	0	1	6	0.6	7	473	0	7.03E-01	1.33E+08	7.14E+07	0.8	4617928704
44	27	3	1	6	0.8	1	474	10.125	3.64E-01	1.33E+08	7.14E+07	0.8	4617928704
45	12	0	1	6	0.8	3	475	0	8.14E-01	1.33E+08	7.14E+07	0.8	4617928704
46	8.8	0	1	6	0.8	5	476	0	8.88E-01	1.33E+08	7.14E+07	0.8	4617928704
47	9	0	1	6	0.8	7	477	0	8.96E-01	1.33E+08	7.14E+07	0.8	4617928704
48	80	0	1	8	0.2	1	478	0	3.27E-01	1.33E+08	7.14E+07	0.8	4617928704
49	80	0	1	8	0.2	3	479	0	3.40E-01	1.33E+08	7.14E+07	0.8	4617928704
50	39	0	1	8	0.2	5	480	0	3.44E-01	1.33E+08	7.14E+07	0.8	4617928704
51	41	0	1	8	0.2	7	481	0	3.46E-01	1.33E+08	7.14E+07	0.8	4617928704
52	24	0	1	8	0.4	1	482	0	5.02E-01	1.33E+08	7.14E+07	0.8	4617928704
53	22	0	1	8	0.4	3	483	0	5.27E-01	1.33E+08	7.14E+07	0.8	4617928704
54	25	0	1	8	0.4	5	484	0	5.36E-01	1.33E+08	7.14E+07	0.8	4617928704
55	25	2	1	8	0.4	7	485	6.25	5.40E-01	1.33E+08	7.14E+07	0.8	4617928704
56	25	0	1	8	0.6	1	486	0	5.70E-01	1.33E+08	7.14E+07	0.8	4617928704
57	21	0	1	8	0.6	3	487	0	7.15E-01	1.33E+08	7.14E+07	0.8	4617928704
58	22	0	1	8	0.6	5	488	0	7.27E-01	1.33E+08	7.14E+07	0.8	4617928704
59	18	0	1	8	0.6	7	489	0	7.34E-01	1.33E+08	7.14E+07	0.8	4617928704
60	27	3	1	8	0.8	1	490	10.125	3.95E-01	1.33E+08	7.14E+07	0.8	4617928704
61	15	2	1	8	0.8	3	491	3.75	8.45E-01	1.33E+08	7.14E+07	0.8	4617928704
62	8.3	0	1	8	0.8	5	492	0	9.19E-01	1.33E+08	7.14E+07	0.8	4617928704
63	11	0	1	8	0.8	7	493	0	9.27E-01	1.33E+08	7.14E+07	0.8	4617928704
64	23	0	2	1	0.2	1	494	0	2.63E-01	1.33E+08	7.14E+07	0.8	2308964352
65	34	0	2	1	0.2	3	495	0	2.76E-01	1.33E+08	7.14E+07	0.8	2308964352
66	39	1	2	1	0.2	5	496	2.4375	2.80E-01	1.33E+08	7.14E+07	0.8	2308964352
67	41	0	2	1	0.2	7	497	0	2.82E-01	1.33E+08	7.14E+07	0.8	2308964352
68	21	0	2	1	0.4	1	498	0	4.38E-01	1.33E+08	7.14E+07	0.8	2308964352
69	19	1	2	1	0.4	3	499	1.1875	4.63E-01	1.33E+08	7.14E+07	0.8	2308964352
70	20	1	2	1	0.4	5	500	1.25	4.72E-01	1.33E+08	7.14E+07	0.8	2308964352
71	20	0	2	1	0.4	7	501	0	4.76E-01	1.33E+08	7.14E+07	0.8	2308964352
72	17	0	2	1	0.6	1	502	0	4.48E-01	1.33E+08	7.14E+07	0.8	2308964352
73	16	0	2	1	0.6	3	503	0	6.51E-01	1.33E+08	7.14E+07	0.8	2308964352
