nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature4	mshuffle	feature3
0	12	0	1	2	0.2	1	1232	0	2.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	2.21E-01	3.13E+00	1.26E+00	0.1	0
1	12	0	1	2	0.2	3	1233	0	2.33E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	2.33E-01	3.12E+00	1.25E+00	0.1	0
2	12	0	1	2	0.2	5	1234	0	2.38E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	2.38E-01	3.12E+00	1.24E+00	0.1	0
3	13	0	1	2	0.2	7	1235	0	2.40E-01	1.05E+08	5.35E+07	0.6	4617928704	0.07692307692	0	2.40E-01	3.12E+00	1.49E+00	0.1	0
4	12	0	1	2	0.4	1	1236	0	3.96E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	3.96E-01	1.56E+00	1.26E+00	0.1	0
5	9.8	0	1	2	0.4	3	1237	0	4.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1020408163	0	4.21E-01	1.56E+00	1.25E+00	0.1	0
6	9.9	0	1	2	0.4	5	1238	0	4.29E-01	1.05E+08	5.35E+07	0.6	4617928704	0.101010101	0	4.29E-01	1.56E+00	1.24E+00	0.1	0
7	10	0	1	2	0.4	7	1239	0	4.33E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1	0	4.33E-01	1.56E+00	1.49E+00	0.1	0
8	7.9	0	1	2	0.6	1	1240	0	4.75E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1265822785	0	5.71E-01	1.25E+00	1.26E+00	0.1	0
9	7.4	0	1	2	0.6	3	1241	0	6.08E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	6.08E-01	1.04E+00	1.25E+00	0.1	0
10	8	0	1	2	0.6	5	1242	0	6.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.125	0	6.21E-01	1.04E+00	1.24E+00	0.1	0
11	8.8	0	1	2	0.6	7	1243	0	6.27E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1136363636	0	6.27E-01	1.04E+00	1.49E+00	0.1	0
12	7.5	0	1	2	0.8	1	1244	0	4.75E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1333333333	0	6.58E-01	1.25E+00	1.26E+00	0.1	0
13	7.4	0	1	2	0.8	3	1245	0	6.08E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	7.02E-01	1.04E+00	1.25E+00	0.1	0
14	8.3	0	1	2	0.8	5	1246	0	6.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	7.17E-01	1.04E+00	1.24E+00	0.1	0
15	9.1	0	1	2	0.8	7	1247	0	6.27E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1098901099	0	7.24E-01	1.04E+00	1.49E+00	0.1	0
16	8.6	0	1	4	0.2	1	1248	0	2.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1162790698	0	2.44E-01	3.13E+00	1.53E+00	0.1	0
17	9	0	1	4	0.2	3	1249	0	2.57E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1111111111	0	2.57E-01	3.12E+00	1.49E+00	0.1	0
18	9.5	0	1	4	0.2	5	1250	0	2.61E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1052631579	0	2.61E-01	3.12E+00	1.48E+00	0.1	0
19	10	0	1	4	0.2	7	1251	0	2.63E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1	0	2.63E-01	3.12E+00	1.77E+00	0.1	0
20	8.4	0	1	4	0.4	1	1252	0	4.19E-01	1.05E+08	5.35E+07	0.6	4617928704	0.119047619	0	4.19E-01	1.56E+00	1.53E+00	0.1	0
21	7.7	0	1	4	0.4	3	1253	0	4.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1298701299	0	4.44E-01	1.56E+00	1.49E+00	0.1	0
22	8.6	0	1	4	0.4	5	1254	0	4.52E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1162790698	0	4.52E-01	1.56E+00	1.48E+00	0.1	0
23	8.9	0	1	4	0.4	7	1255	0	4.57E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1123595506	0	4.57E-01	1.56E+00	1.77E+00	0.1	0
24	7	0	1	4	0.6	1	1256	0	4.99E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1428571429	0	5.94E-01	1.25E+00	1.53E+00	0.1	0
25	6.1	0	1	4	0.6	3	1257	0	6.32E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1639344262	0	6.32E-01	1.04E+00	1.49E+00	0.1	0
26	7.6	0	1	4	0.6	5	1258	0	6.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1315789474	0	6.44E-01	1.04E+00	1.48E+00	0.1	0
27	8.5	0	1	4	0.6	7	1259	0	6.50E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1176470588	0	6.50E-01	1.04E+00	1.77E+00	0.1	0
28	8.1	0	1	4	0.8	1	1260	0	4.99E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	6.82E-01	1.25E+00	1.53E+00	0.1	0
29	6.3	0	1	4	0.8	3	1261	0	6.32E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1587301587	0	7.25E-01	1.04E+00	1.49E+00	0.1	0
30	6.8	0	1	4	0.8	5	1262	0	6.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1470588235	0	7.40E-01	1.04E+00	1.48E+00	0.1	0
31	7.8	0	1	4	0.8	7	1263	0	6.50E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1282051282	0	7.47E-01	1.04E+00	1.77E+00	0.1	0
32	8.1	0	1	6	0.2	1	1264	0	2.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	2.67E-01	3.13E+00	1.79E+00	0.1	0
33	8.3	0	1	6	0.2	3	1265	0	2.80E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	2.80E-01	3.12E+00	1.74E+00	0.1	0
