nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma
0	2.6	0	1	2	0.2	1	625	0	2.08E-01	1.08E+08	2.27E+07	0.8	4617928704	0.3846153846	0
1	2.6	0	1	2	0.2	3	626	0	1.59E-01	1.08E+08	2.27E+07	0.8	4617928704	0.3846153846	0
2	2.3	0	1	2	0.2	5	627	0	4.40E-02	1.08E+08	2.27E+07	0.8	4617928704	0.4347826087	0
3	2.4	0	1	2	0.2	7	628	0	-1.36E-02	1.08E+08	2.27E+07	0.8	4617928704	0.4166666667	0
4	2.2	0	1	2	0.4	1	629	0	3.30E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4545454545	0
5	2.3	0	1	2	0.4	3	630	0	-2.82E-02	1.08E+08	2.27E+07	0.8	4617928704	0.4347826087	0
6	2.3	0	1	2	0.4	5	631	0	-1.48E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4347826087	0
7	2.3	0	1	2	0.4	7	632	0	-2.07E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4347826087	0
8	2.1	0	1	2	0.6	1	633	0	1.55E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4761904762	0
9	2.2	0	1	2	0.6	3	634	0	-2.16E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4545454545	0
10	2.3	0	1	2	0.6	5	635	0	-3.39E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4347826087	0
11	2.4	0	1	2	0.6	7	636	0	-4.01E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4166666667	0
12	2.3	0	1	2	0.8	1	637	0	-1.99E-02	1.08E+08	2.27E+07	0.8	4617928704	0.4347826087	0
13	2	0	1	2	0.8	3	638	0	-4.03E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5	0
14	2.2	0	1	2	0.8	5	639	0	-5.31E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4545454545	0
15	2.2	0	1	2	0.8	7	640	0	-5.95E-01	1.08E+08	2.27E+07	0.8	4617928704	0.4545454545	0
16	1.8	0	1	4	0.2	1	641	0	2.18E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
17	1.9	0	1	4	0.2	3	642	0	1.49E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5263157895	0
18	1.8	0	1	4	0.2	5	643	0	3.42E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
19	2.1	0	1	4	0.2	7	644	0	-2.34E-02	1.08E+08	2.27E+07	0.8	4617928704	0.4761904762	0
20	1.8	0	1	4	0.4	1	645	0	3.20E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
21	1.8	0	1	4	0.4	3	646	0	-3.80E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
22	1.8	0	1	4	0.4	5	647	0	-1.57E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
23	1.9	0	1	4	0.4	7	648	0	-2.17E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5263157895	0
24	1.8	0	1	4	0.6	1	649	0	1.45E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
25	1.9	0	1	4	0.6	3	650	0	-2.26E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5263157895	0
26	1.8	0	1	4	0.6	5	651	0	-3.49E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
27	1.8	0	1	4	0.6	7	652	0	-4.11E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
28	1.8	0	1	4	0.8	1	653	0	-2.97E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
29	1.8	0	1	4	0.8	3	654	0	-4.13E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
30	1.8	0	1	4	0.8	5	655	0	-5.41E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
31	1.8	0	1	4	0.8	7	656	0	-6.05E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
32	1.7	0	1	6	0.2	1	657	0	2.28E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
33	1.7	0	1	6	0.2	3	658	0	1.40E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
34	1.7	0	1	6	0.2	5	659	0	2.44E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
35	1.9	0	1	6	0.2	7	660	0	-3.32E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5263157895	0
36	1.7	0	1	6	0.4	1	661	0	3.11E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
37	1.7	0	1	6	0.4	3	662	0	-4.78E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
38	1.8	0	1	6	0.4	5	663	0	-1.67E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
39	1.8	0	1	6	0.4	7	664	0	-2.27E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
40	1.7	0	1	6	0.6	1	665	0	1.36E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
41	1.7	0	1	6	0.6	3	666	0	-2.35E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
42	1.8	0	1	6	0.6	5	667	0	-3.59E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
43	1.8	0	1	6	0.6	7	668	0	-4.21E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5555555556	0
44	1.7	0	1	6	0.8	1	669	0	-3.95E-02	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
45	1.7	0	1	6	0.8	3	670	0	-4.23E-01	1.08E+08	2.27E+07	0.8	4617928704	0.5882352941	0
